시명,2020 건설폐기물 배출량,2020 건설폐기물 처리량
가평군,0.8764,0.1784
고양시,0.7834,0.9265
과천시,0.9498,0
광명시,0.9179,0
광주시,0.6444,0.5121
구리시,0.8455,0
군포시,0.6506,0.9423
김포시,0.6104,0.7729
남양주시,0.6646,0.9646
동두천시,0.4045,0.8919
부천시,0.6647,0.954
성남시,0.8339,0
수원시,0.9009,0.9844
시흥시,0.5071,0.6176
안산시,0.4912,0.0385
안성시,0.4465,0.6517
안양시,0.7193,0.8016
양주시,0.5454,0.911
양평군,0.8967,0.9512
여주시,0.5878,0.7232
연천군,0.7089,0.9252
오산시,0.6179,0.6769
용인시,0.4931,0.7656
의왕시,0.7722,0
의정부시,0.7189,0
이천시,0.4159,0.7717
파주시,0.6958,0.8661
평택시,0.5864,0.4707
포천시,0.2925,0.6941
하남시,0,0
화성시,0.3893,0.6784
경기도 전체,0.6154,0.7707
