시명,2020 건설폐기물 배출량,2020 건설폐기물 처리량
가평군,0.0109,0.0035
고양시,0.0737,0.0805
과천시,0.0149,0
광명시,0.0236,0
광주시,0.028,0.001
구리시,0.0085,0
군포시,0.008,0.001
김포시,0.034,0.0359
남양주시,0.0592,0.0931
동두천시,0.0064,0.037
부천시,0.0235,0.0385
성남시,0.0541,0
수원시,0.0884,0.0338
시흥시,0.0274,0.0216
안산시,0.0377,0.0006
안성시,0.019,0.0376
안양시,0.027,0.0058
양주시,0.03,0.0904
양평군,0.0152,0.0128
여주시,0.0145,0.012
연천군,0.014,0.0449
오산시,0.0131,0.0073
용인시,0.0364,0.0815
의왕시,0.009,0
의정부시,0.0237,0
이천시,0.0298,0.0447
파주시,0.0646,0.0986
평택시,0.0879,0.0323
포천시,0.0174,0.0423
하남시,0.0319,0
화성시,0.068,0.1434
