시명,2020 사업장폐기물 배출량,2020 사업장폐기물 처리량
가평군,0.0027,0.0609
고양시,0.0348,0.0243
과천시,0.0013,0
광명시,0.0032,0.0004
광주시,0.0268,0.0035
구리시,0.0024,0.0012
군포시,0.0072,0.0002
김포시,0.0371,0.0364
남양주시,0.0524,0.0131
동두천시,0.0164,0.017
부천시,0.0201,0.007
성남시,0.0173,0.0079
수원시,0.0154,0.0021
시흥시,0.0386,0.0306
안산시,0.0473,0.0299
안성시,0.0396,0.0751
안양시,0.0176,0.0055
양주시,0.0428,0.0307
양평군,0.003,0.0025
여주시,0.0178,0.0175
연천군,0.0098,0.0115
오산시,0.0133,0.0065
용인시,0.0647,0.0944
의왕시,0.0041,0
의정부시,0.0159,0.0085
이천시,0.0595,0.0504
파주시,0.0433,0.0562
평택시,0.0965,0.124
포천시,0.074,0.0708
하남시,0.0078,0
화성시,0.1672,0.2119
