,num,date,review,rating,like
0,0,2021년 4월 19일,귀여워요ㅠㅠ,5,
0,1,2021년 4월 19일,MBC 스트레이트 2021. 04. 04.,1,
0,2,2021년 4월 18일,빠른배송 감사합니다,5,
0,3,2021년 4월 18일,정말 좋았구....강추,5,
0,4,2021년 4월 18일,"쿠팡맨의 죽음으로 돈버는 왜국회사, 로켓배송-거북이정산이라서 탈퇴합니다.",1,
0,5,2021년 4월 18일,새벽 배송 신선배송 프레싀백 사용 넘 좋아요,4,
0,6,2021년 4월 18일,갑질 기업 불매,1,
0,7,2021년 4월 18일,배송빠르고 좋아요,5,
0,8,2021년 4월 18일,만 12세 이상은 체크카드 만들수있는데 만 14세 미만이 아니라 안된다고 하더라구요ㅠㅠ 만 12세 이상도 결제.가능하게 해주세요ㅠ,3,
0,9,2021년 4월 18일,좋아요!,5,
0,10,2021년 4월 18일,쿠팡 쿠팡택배에 컴퓨터는 왔어요.,5,
0,11,2021년 4월 18일,제가원하는것들이 많아서 좋아요 치마도마음에 들으니깐 이거까세요,4,
0,12,2021년 4월 18일,좋아요,5,
0,13,2021년 4월 18일,배송빠르구 무료배송무료반품돼서 😀,5,
0,14,2021년 4월 18일,뉴스보고 느낀건데 진심 쿠팡 사용을 자제 해야겟다,1,2
0,15,2021년 4월 18일,감사,3,
0,16,2021년 4월 18일,"무제한 무료반품은 좋아요 근데 넘 품질이 떨어져요 신발 하루만에 밑창까지고 라면 포트는 흠집 난거 배송오고 나중에 산거는 일주일만에 전원 나가 버리고 오늘은 매운순대 먹으려고 배송금액 맞춘다고 일부러 절대로 돈주고 사먹지도 않는 목전지를 샀는데 일반 순대네요 상품평에 뒷맛이 매콤하니 뭐니 여럿있던데 두덩이중 한덩이 모두 고추입자 못찾았어요 오죽했으면 음식이라 반품이 안되겠지하고 상담사 재량으로 부탁하려고 전화드렸는데 와우 회원이라고 다행히 반품해주셨어요 친절하게 설명해주시고 쿠팡은 비싸지만 빠른배송 친절한 상담사 무제한 무료반품 이...
전체 리뷰",1,
0,17,2021년 4월 18일,좋아요~나름,5,
0,18,2021년 4월 18일,좀 쓸려고만하면 업데이트타령 써라거 만든거냐 패치받으라고 만든거냐,1,
0,19,2021년 4월 18일,배송도 빠르고 정말 없는게 없어서 너무 잘 쓰고 있어요!! 쪼끔 아쉬운 거라면 검색을 하고 필터로 가격대 설정을 할 때 제가 입력하지 못하는게 아쉽네요,4,
0,20,2021년 4월 18일,짱 짱,5,
0,21,2021년 4월 18일,최고입니다,5,
0,22,2021년 4월 18일,Good,5,
0,23,2021년 4월 18일,"아니 도착보장이라는 건 이런저런 핑계 대면서 죄송죄송할거면 왜 만든건가요? 쿠팡을 이용하는 이유가 빠른 배송이고, 급한 만큼 쿠팡을 믿으니까 사용하는 건데 솔직히 이제 신뢰도 바닥.. 이번이 2번째 있는 배송 지연인데.. 문의하니 24시간 멈춰있다고 다시 재출고 해드릴까는 또 머임? 장난하는 건가? 그런 건 알아서 처리되야하는 거 아닌가요? 암것도 모르고 기다리고 있는 사람한테 먼저 배송이 지연됐다고 연락오는 것도 아니고 한참 지나서 물어보니 재출고 해드릴까요? ㅋㅋㅋㅋㅋㅋ ㄹㅇ 어이없네요. 이제 안씁니다~",1,
0,24,2021년 4월 18일,정확한 단가.계산.예상배달 일자.적당란 가격.좋아요,5,
0,25,2021년 4월 17일,싫어요,1,
0,26,2021년 4월 17일,아주 빨라요 배송이~~!!,5,
0,27,2021년 4월 17일,굿,5,
0,28,2021년 4월 17일,이용해보니 넘 빠르구 좋아요,5,
0,29,2021년 4월 17일,업데이트가 대기중에서 더이상 안됨,4,
0,30,2021년 4월 17일,굿,5,
0,31,2021년 4월 17일,"너무 좋아요!!로켓 배송이 빨라서 좋구, 물건 상태도 모두 좋게 옵니다^^다만 과대포장이 심하구, 물건 놓고 갈때 아무렇게나 막 놓고 가셔서 별 1개만 빼겠습니다",4,
