num,date,review,rating,like
0,2021년 04월 18일,제품이 싸고 쿠폰도 줘서 자주 구입합니다,3,
1,2021년 04월 18일,로그인을 하려면 두 번씩 입력하고 포인트를 선물하려면 계속 조회할 수 없다고 나오네요. 개발자님은 치열한 경쟁사회에선 무엇보다 끈기가 중요하다는 교훈을 전달해주시는군요. 참으로 감사합니다.,2,
2,2021년 04월 18일,앱전용혜택도 많네요,5,
3,2021년 04월 18일,엘포인트 쓸 수 있어서 넘 좋아요 진짜,5,
4,2021년 04월 18일,편리해서 쓰기 좋아~~요 ㅋ,4,
5,2021년 04월 18일,할인쿠폰 더 주세요!!! 짱!!,3,
6,2021년 04월 18일,신선한 제품 감사드려요~~,5,
7,2021년 04월 18일,무거운 장바구니를 들 필요가 없네용 ㅎㅎ,5,
8,2021년 04월 18일,요즘 제일 많이 이용함 ㅎㅎ,3,
9,2021년 04월 18일,"여러가지 한번에 살 수 있고, 할인쿠폰도 활용할 수 있어 좋아요",5,
10,2021년 04월 18일,사용하기 편하게 잘 만들엇어요,3,
11,2021년 04월 18일,앞으로 더 신경써서 관리 해주세요 고맙습니다~,3,
12,2021년 04월 18일,샀던 제품 재주문하기 편리합니다.,5,
13,2021년 04월 18일,쇼핑 앱 요놈을 자주 사용해요,4,
14,2021년 04월 18일,상품들이 저렴쓰 뺌!,3,
15,2021년 04월 18일,적응중입니다,5,
16,2021년 04월 18일,그닥 나쁘지 않아요,5,
17,2021년 04월 18일,여기 후기 진짜 레알,5,
18,2021년 04월 18일,합리적 가격으로 구매가 가능하네요,3,
19,2021년 04월 18일,"물건 찾기가 쉽고, 주문도 쉽네요",5,
20,2021년 04월 18일,엄마가 옆에서 보시고는 무슨 앱이냐고 알려달라해서 알려드렸어요~~ 좋습니다,5,
21,2021년 04월 18일,타사 어플 보다 여기가 더 낫습니다,3,
22,2021년 04월 18일,참 편리하게 구입되네요~ 굿굿,5,
23,2021년 04월 18일,여기서 쇼핑 자주 이용 하는데 사용하기 더 편리해진거 같아요,4,
24,2021년 04월 18일,컨텐츠들이 지저분하지 않고 깔끔하게 잘 나와 있네요,4,
25,2021년 04월 18일,덕분에 좋은 제품 많이 가져갑니다 무야호!,3,
26,2021년 04월 18일,넘편해요,5,
27,2021년 04월 18일,싸고 좋아요,5,
28,2021년 04월 18일,모바일로 구매하기 최적화 되어 있는거 같아요,5,
29,2021년 04월 18일,쏘쏘해요,3,
30,2021년 04월 18일,제품도 많고 검색하기 좋네요.,5,
31,2021년 04월 18일,다양한 상품이 많아 쇼핑에 아주 도움이 됩니다.,3,
32,2021년 04월 18일,넘 편하고 좋네요,5,
33,2021년 04월 17일,딱히 불편한점은 없음 감사합니다,3,
34,2021년 04월 17일,Good,5,
35,2021년 04월 17일,마음에 드는게 너무 많아서 고민중..,5,
36,2021년 04월 17일,신경써서 만든 어플 감사,4,
37,2021년 04월 17일,이 앱 아주 유용한듯??,4,
38,2021년 04월 17일,배송짱!,3,
39,2021년 04월 17일,롯데on 짱좋아여,5,
40,2021년 04월 17일,괜찮은듯요,5,
41,2021년 04월 17일,매번 잘 사용하고 있습니다,3,
42,2021년 04월 17일,괜찮은 거 같아요,5,
43,2021년 04월 17일,편리하게 잘 쓰고 있어요~,5,
44,2021년 04월 17일,별 5점 만점에 10점!!,3,
45,2021년 04월 17일,요즘에 잘 사용하는 있음~~,4,
46,2021년 04월 17일,"자꾸 로그인이 풀려요, 왜 그럴까요요? 사용중, 다른 어플사용하고 다시 돌아와 보면 로그인이 풀려버립니다.",3,
47,2021년 04월 17일,앱으로 구매하면 추가 할인 쿠폰 적용된다고 했는데 웹페이지에서 구매할수 있는 금액보다 더 비싸게 뜨네요. 앱으로 쇼핑하는 사람이 호구인듯합니다,1,
48,2021년 04월 17일,좋은 상품을 믿고 구매 할 수 있는듯 합니다!,5,
49,2021년 04월 17일,요즘 맨날 1일 1롯데온 해요,5,
50,2021년 04월 17일,앱 디자인이 깔끔해서 좋아요.,3,
51,2021년 04월 17일,"이 앱만 봐도 롯데가 왜 다른 쇼핑몰에 비해 점점 뒤쳐지는지 알 수 있습니다. 주문하기를 누르면 결제화면으로 넘어가지 않는 현상으로 고객센터 문의했습니다. 캐시삭제,장바구니 비우기 후 다시 접속하라더군요. 그대로 했는데도 똑같아서 다시 문의하니 이번에는 배송지 삭제 후 1~2시간 후 접속하면 될 수도 있다고 했습니다. 그런데 또 오류가 납니다. PC주문도 똑같은 오류가 발생합니다. 문제가 있으면 빨리 시스템 개선을 해야지, 소비자에게 이것저것 해보라는 식은 한참 잘못된거 아닌가요? 정말 별 하나도 아깝습니다.",1,4
52,2021년 04월 17일,편리하고 너무 좋아요 최곱니다,5,
53,2021년 04월 17일,쇼핑 관련 어플 중에서는 여기가 제일 나은듯?,4,
54,2021년 04월 17일,무배 쩌러여!!,3,
55,2021년 04월 17일,굿입니다,5,
56,2021년 04월 17일,명품 가격 실화? 여기가 제일 싼 듯,5,
57,2021년 04월 17일,롭스에서만 사는데 이제 매장안가고 롯데온 어플로 사요~!! 너무 편하고 좋습니다,5,
58,2021년 04월 17일,선택의 폭이 넓어서 사용자 입장에서는 좋은점인거 같네여,5,
59,2021년 04월 17일,상품이 다양하고 적당한 가격 만족합니다…,3,
60,2021년 04월 17일,오늘 처음 가입 했어요. 잘 부탁 드립니다,4,
61,2021년 04월 17일,모바일 크롬에선 메일 인증확인 위해 탭 이동하는 순간 간단메일 가입폼 초기화로 롯데온 가입불가 어플을 강제하기위한 꼼수인가 무능력인가 ㅋ,1,
62,2021년 04월 17일,많이 개선되어가고 있네요~ 만족합니다,5,
63,2021년 04월 17일,빠른배송 감사감사,5,
64,2021년 04월 17일,며칠전부터 자동로그인이 계속풀려서 앱들어갈때마다 로그인을 일일이 다시해야합니다 자동로그인 설정체크되어잇고 백그라운드설정도 다되어잇습니다 다른앱들다멀쩡히 자동로그인잘되는데 왜 이 롯데온 앱만 자동로그인이 안되는지모르겟네요ㅡㅡ 그리고 앱 너무느려요 개선좀 ㅡㅡ 무엇보자 자동로그인 안되는거좀 해결방법알려주세요,2,
65,2021년 04월 17일,앱 사용은 만족합니다,5,
66,2021년 04월 17일,오류 없이 잘 되네요~ 잘 쓸께요.,3,
67,2021년 04월 17일,어플이 점점 좋아지는 거 같아서 좋아요,5,
68,2021년 04월 17일,조은 제품 감사합니다..,3,
69,2021년 04월 17일,배송이 아주 빠름,4,
70,2021년 04월 17일,저희 엄마가 자동할인 적용되는거 너무 좋다고 하시네요! 추천합니다,5,
71,2021년 04월 16일,"가성비,가심비 둘다 잡는 쇼핑몰",3,
72,2021년 04월 16일,저렴하게 잘 구매했어요~,5,
73,2021년 04월 16일,백화점~ 마트~ 슈퍼~ 롭스~ 하이마트~ 다 있네요!!!! 만족합니다,5,
74,2021년 04월 16일,좋은 상품 좋은 구매 좋은 어플,4,
75,2021년 04월 16일,엘포인트 짱짱맨,3,
76,2021년 04월 16일,배송두 물건두 좋습니다,5,
77,2021년 04월 16일,너무 좋아요!!!!,5,
78,2021년 04월 16일,온라인 구매 자주 안하는데 여기서 만큼은 자주 해야징,3,
79,2021년 04월 16일,매우 잘 사용하고 있습니다.,5,
80,2021년 04월 16일,이전에 비해 어플이 많이 개선된거 같음,5,
81,2021년 04월 16일,저는 앱 오류없고 깔끔해요,5,
82,2021년 04월 16일,일단 UI가 깔쌈하니 사용하기 편리 한듯 ㅋㅋ,4,
83,2021년 04월 16일,실속 있는 제품 고맙습니다,3,
84,2021년 04월 16일,"전 쓸만한거 같아요 좀만 더 개선되면 좋겠지만,,,",5,
