,num,date,review,rating,like
0,0,2021년 4월 15일,끽꽁낀땅딱떡,4,
0,1,2021년 4월 13일,한개 주기도 아까워요,1,
0,2,2021년 4월 13일,자꾸 설치 유도하게 하는 이유가 뭐죠?,1,
0,3,2021년 4월 13일,회원가입때 정보제공 동의하는 부분 체크가 안눌림 이런 리뷰 개많은데 아직 안고친건지;,1,
0,4,2021년 4월 12일,잘 쓰고있습니다.,4,
0,5,2021년 4월 12일,알비백 내것처럼 깨끗히 잘보관하다가 새벽배송할때면 더러운걸로 바뀌어져있고 짜증난다,1,
0,6,2021년 4월 12일,상품 준비만 3일 쳐걸리더니 품절 됐다고 통보 때리고 돈을 벌고 싶은 사람들 맞나요 ? 그딴식으로 할 거면 저희를 이해시킬만한 이유라도 대든가 재고가 없으면 바로바로 좀 표시하세요 게을러서 뭔 돈을 벌겠다는 건지,1,8
0,7,2021년 4월 11일,"저는 20대입니다... 핸드폰이나 회원가입, 프로필 작성 등 기본 회원정보 다룰 줄 모르는 연배 있으신 분들도 아니고요. 배송, 상품처럼 ssg의 상품성에 관련해서 말할 가치도 없는건, 저처럼 젊은 사람도 아이디 찾고, 비밀번호 찾고 계정 연동해서 로그인 하는데까지 정확히 22분 걸렸습니다. 상품 퀄리티, 검수, 배송 등 고차원적인 문제는 다룰 가치도 없는게, 어떻게 젊은 사람이 로그인하는데만 22분을 걸리게 ui를 설계할 수가 있는거죠; 2000년대 넷마블도 아니고...",1,
0,8,2021년 4월 11일,전에는 안 그랬는데 상품 상세정보 이미지 로딩이 오래 걸리거나 저화질로 깨져서 나와요,3,1
0,9,2021년 4월 11일,감사합니다 패밀리링크를 캬 물론 다른 앱들도 있음,5,
0,10,2021년 4월 11일,요즘들어 재접속 시도 알림이 많이 뜨네요,3,1
0,11,2021년 4월 8일,좋아요,5,1
0,12,2021년 4월 8일,자꾸튕겨요,1,
0,13,2021년 4월 14일,다 좋은데 화면 가로로 볼 수 있었으면 좋겠습니다 탭으로 보는데 세로밖에 안돼서 너무 불편합니다.,3,1
0,14,2021년 4월 8일,왜 자꾸 오류가 뜨고 앱이 닫히는걸까요? 삭제하고 다시 깔아도 그렇습니다,1,
0,15,2021년 4월 8일,유용한 앱이예요,5,1
0,16,2021년 4월 14일,나는 굉장히 잘 쓰는뎅👍,5,
0,17,2021년 4월 7일,무통장입금 어따 팔아먹었어 그리고 결제수단마다 보조 앱 설치 필수에다가 깔아서 몇 번을 계좌이체를 해도 처리가 안돼..,1,
0,18,2021년 4월 5일,아니 며칠째 오류 나는데 고치지도 않고 뭐하냐 ㄹㅇ 쓱배송 때문에 썼는데 딴거쓰고 만다 어휴,1,
0,19,2021년 4월 4일,일방적으로 재고 없다고 주문취소 동품목 가격 올린게 취소사유네요 처음ㅈ부터 삐기상품 대기업의 신뢰성이 없네요 소보원에 고발해서 소비자 권리를 찾겠습니다 캡쳐해놨으니,5,13
0,20,2021년 4월 4일,그냥,2,
0,21,2021년 4월 5일,회사는 일류인것 같으나 서비스는 일류아닌듯 싶어요 상담원한테 직접말도 해봤으나 해결되지 않더라구요 개선에 힘써주시면! 앱너무 지저분해보여서 집중력이떨어집니다,4,
0,22,2021년 4월 2일,쫌 품절된건 미리 내려야되는거 아니에요? 아니면 당일 이야기 해주던가... 옷하나 주문하려고 일주일 이상 기다려야 되는건가요?,1,
0,23,2021년 4월 2일,예전엔 안그랬는데 상세정보 뜨는게 너무 느려터졌어요,1,5
0,24,2021년 4월 1일,"쓱배송 첫구매인데 일방적으로 품절되었다는 환불통보.. 신선식품도 아니고 공산품인데..포인트 쓰라고 해서 썼더니 이건 뭐 포인트로 구매한사람은 이마트입장에서 손해볼거 같으니 취소시킨 기분이 드네요 매우 불쾌합니다. 구매취소시 쓱포인트차감, 이마트포인트등 차감 먼저 해주시고 나머지 카드대금 취소 결제 해주세요. 그리고 이마트측 귀책사유이니 배송비는 결제하지 마시구요 그리고 취소 영수증 상세 내역 보내주세요",1,105
0,25,2021년 4월 1일,상품검색하기만하면 앱이 튕겨요 다시깔아도 마찬가지네요,2,1
0,26,2021년 3월 29일,자꾸 앱으로 클릭해서 들어가면 창이 열렸다 닫혀요 오늘 그런앱들이 몇개 되는데 쓱닷컴도 그 중 하나여요,1,2
0,27,2021년 3월 26일,앱 열면 바로 꺼짐. 장바구니에 다 담아놓고 결제할 타이밍..,1,
0,28,2021년 3월 24일,진짜 웹뷰 지우니까 잘 됨 ㄱㅅ,5,1
0,29,2021년 3월 26일,설치후 다시 작동시 죽어버리네요 갤럭시 최신폰인데요 ㅉㅉ,1,7
0,30,2021년 3월 23일,갤s10앱이자꾸종료됨,1,2
0,31,2021년 3월 23일,쿠키 때엠 다운로드 하고 열었눈데 쿠키를 안줘요!..◥◣‸◢◤,1,
0,32,2021년 3월 23일,좋음,5,
0,33,2021년 3월 23일,갤럭시s10 on ui 3.1 업데이트 후 앱 키면 바로 꺼집니다 확인해주세요,1,21
0,34,2021년 3월 23일,굿굿굿,5,
0,35,2021년 3월 23일,이번주내내 검색하면 계속 튕김 검색하면 다 튕김,2,
0,36,2021년 3월 23일,왜 자꾸 튕겨요? 새벽배송 시킬려고했는데 앱스스로 종료되요ㅠㅠ 왜 구래요?,3,8
0,37,2021년 3월 23일,광고는 겁나 시간별 맞춰서 배송 난리를 떨더니 일주일 기다리고 재고 없음 환불 이러네 미쳤나ㅡㅡㅋㅋ 리뷰 보니깐 나만 당한 게 아니구만ㅋㅋㅋ 네 안 씁니다 리뷰업체 방어끼고 3.3 ㅋㅋ 네 말 다 했죠 수고 좀 하셔야 겠네요 커피왕꼴 나려고 이러나ㅋ 다신 안 씁니다 퉤,1,172
0,38,2021년 3월 23일,도움이 많이됩니다,5,
0,39,2021년 3월 23일,노란색사람구하기 뽀로로동화나라,5,
0,40,2021년 3월 21일,웹 브라우저에서도 쿠폰 사용이 되는데 어플에서 안되는건 무슨 경우지?,1,
0,41,2021년 3월 20일,쇼핑이 편리해요,5,
0,42,2021년 3월 19일,사용하기 편해요. 이마트카테고리에 세일중을 숨겨놨던데 잘 보일수있게 해주심 더 좋을거같아요,5,19
0,43,2021년 3월 23일,하나부터 열까지 개빡침,1,
0,44,2021년 3월 19일,오배송에 잘못된 물건이나 파는 앱입니다. 업체선정을 뭐 저따위로 하는지 ㅡㅡ 4번 주문해봤는데 2번이 잘못된 물건 .. 다른 쇼핑앱에선 한번도 없었던 것들이 여기는 50프로가 다 문제 덩어리네요 . 쿠폰 할인 백만번해도 이 앱은 쓸생각이 없네요 ㅡㅡ,1,2
0,45,2021년 3월 18일,우선 궁금한걸 해결 못합니다. 물어봐도 상담 가능한 시간이 아니라 하고 상담 가능한 시간에 물어봐도 상담 가능한 상담사가 없다 그러고 상담내용에 대한 답변 예약을 걸어놔도 2틀뒤에 답해줍니다 ㅋㅋ 궁금한거 해결 된 후에 해결 해 주거나 해결이 아예 되지 않습니다.,1,6
0,46,2021년 3월 23일,집에서 간편하게 장볼수있어서 너무좋고 메뉴가 다 간편해서 보기편해요~!!,5,76
0,47,2021년 3월 17일,짱별로,1,
0,48,2021년 3월 23일,컴퓨터로 주문하는거랑 폰으로 주문하는거랑 가격이 틀려요 일부 쿠폰 적용이 안됨,1,2
0,49,2021년 3월 17일,"업데이트 하더니 로그인 할 때마다 네이버 아이디, 비밀번호 입력해야 합니다... 할인 행사 제품도 보기 힘들어지고, 사용자를 위한 인터페이스라고 보기 힘드네요.",1,15
0,50,2021년 3월 17일,느림 이미지 로딩이 오래 걸림,3,4
0,51,2021년 3월 13일,마트용 앱으로는최상입니다,5,1
0,52,2021년 3월 12일,드디어 로그인 성공... 리뷰는 수정합니다. 집에서 장보는데 유용하게 사용하고 있어요!,5,125
0,53,2021년 3월 11일,좋아요 한거 품절된 상품 한번에 체크해서 삭제할 수 있게 해주세요,3,5
0,54,2021년 3월 8일,난해하다,5,
0,55,2021년 3월 8일,정말 어쩔수없다 쓸수밖에.. 장바구니에 막넣고 보니 각각.. 파는사람따로있구 배송비도 엄청붙어서.. ㅠ 못산적도 많지만.. 또 다시 설치하는이유는.. 종류가 많아서 가성비좋은것도 있구 내가 찾는것도 웬만하면 있기에.. 아쉽지만.. 이만한 웹도 없는듯 ㅠ,5,111
0,56,2021년 3월 4일,굿,4,
0,57,2021년 3월 4일,배달예정시간 텀도 4시간이면서 제때 오지도 않음. 8시에서 8시 45분 사이에 온다고 해놓고 직접받아야되서 기껏 8시부터 암것도 못하고 기다렸건만 9시 반 다되서옴 이럴거면 예정시간은 왜있음?,1,8
0,58,2021년 3월 4일,이게.뭔가요?,1,1
0,59,2021년 2월 26일,"1.ssg는cj대한통운으로 보낸다. 2.일요일 공휴일에는 배송안된다(쿠팡은 토 일요일은 물론 새벽 4시에도 풀로 가동 배송함) 내가 ssg에서 산 스팀청소기에 경우 쿠팡보다 5천원 더 비싸다(쿠팡 최저가 보장제가 있어 최저가이상으로 팔지 않음) 3.2일 늦게 주문한 쿠팡이 2일먼저 도착했다 4.쿠팡 마냥 쿠폰을 주는척 하는데 이 앱의 쿠폰은 그림의 떡이다 5.여기 직원이 쿠팡쓴다. 6확실히 쿠팡 다음으론 좋긴 하다. 1,2위 차이가 심할뿐",1,4
0,60,2021년 2월 22일,ui/ux디자인좀바꾸시길 쿠팡본받으세요,1,
0,61,2021년 2월 21일,설치 후 후원 기능 있어서 했는데 ㅡㅡ 안됨,1,3
0,62,2021년 2월 21일,",,,,ㅣ,,,,,이,",2,
0,63,2021년 2월 21일,일좀 합니다!,1,
0,64,2021년 2월 20일,회원가입을하려니까 가입 필수조건을 다 체크하고 전화번호 인증하니까 필수조건 체크가 다 안되있고 안 눌러집니다. 그래서 순서 바꿔서 전화번호인증 먼저하고 필수조건하려니까 또 안되네요. 회원가입하지 말란말인가요? 그리고 선택 체크도 안됩니다,2,60
0,65,2021년 2월 19일,운동화 구매했는데 일주일뒤에 재고없다고 전화오고 환불처리 해주네요. 옆집 쿠팡은 당일 배송오는데 이러면 누가써요. 잘 좀 관리해주세요.,1,
0,66,2021년 2월 18일,쓱-,3,
0,67,2021년 2월 18일,캐시 준다고 해서 설치해서 홈화면 보구 다 보구 하나하나 다 클릭까지 했는데 캐시를 안주는데 캐시좀 주세요,1,13
0,68,2021년 2월 13일,완전 쓰레기,1,
0,69,2021년 2월 13일,나름 대기업인데 일좀 열심히 했으면 좋겠다. 쇼핑앱 여러개 사용중인데 이렇게 뭐 이벤트하는거 찾기 번거롭고 조잡한 앱은 여기밖에 없다.,1,61
0,70,2021년 2월 12일,파이 잘받았습니다.,5,1
0,71,2021년 2월 10일,우리카드 우리페이 사용자입니다. 우리페이 결제는 안되는건가요? 기술적으로 불가능한 것이 아니라면 우리페이로도 결제할 수 있도록 개선 부탁드립니다. 다른 결제수단도 있지만 우리페이 결제시 받을 수 있는 혜택을 놓치게되어서 손해를 봅니다.,1,3
0,72,2021년 2월 9일,최악,1,
0,73,2021년 2월 9일,최악의 앱 상담사 전화도 안받고 결제도 계좌이체도없고 이러니 다른 배송어플에 밀리는게 당연하다는 생각이드네요,1,14
0,74,2021년 2월 9일,실망입니다,1,
0,75,2021년 2월 8일,아니 캐시 준대서 왔는데 왜 안줘요? 1캐시도 안 주네;,1,1
0,76,2021년 2월 8일,감사,5,
0,77,2021년 2월 8일,구웃,5,
0,78,2021년 2월 7일,이상함. 사용자 편의를 하나도 안봐줌.,1,
0,79,2021년 2월 6일,결제방법에 무통장 입금이 포함 되길 빕니다..!,4,9
0,80,2021년 2월 5일,뭐 어플 몇개를 깔아야하나요? 뭐포인트 쓰는것마다 앱이 다다르고 ssg깔았더니 이마트 또 깔고 이제 포인트 받아 쓰려니 ssg페이가 또있고 3개만 깔면 다 되긴하는건가요? 이게 무슨 통합서비스인가요?,1,
0,81,2021년 2월 5일,진짜 최악 ㅋㅋㅋㅋ최초 오픈 포인트 언제 줄 거냐? 등쳐먹고 있네 ㅠㅠ 등쳐먹어서 좋냐? 양심도 없나 진짜 ㅋㅋㅋ 여기서 뭐 물건 살 일도 없을 듯 ㅋㅋㅋ 딱 봐도 수준 보이니까,1,3
0,82,2021년 2월 5일,시간.친절좋아요,5,
0,83,2021년 2월 5일,리뷰 정렬하는 게 없어진건지..? 최신순이나 평점순으로도 보고싶은데 다 뒤죽박죽... 보통 업데이트하면 잠깐 어색해해도 기능적으로 나아지는 게 있어서 납득하는데 이번은ㅠㅠ 다양한 연령대가 사용하는 만큼 좀 더 직관적으로 바뀌었으면 좋겠어요. 이상한 디자인적 요소는 고려하시지 말고요ㅠ,3,2
0,84,2021년 2월 5일,걍1점줌,1,1
0,85,2021년 2월 4일,모바일 비추... 쓰기불편해요,1,
0,86,2021년 2월 2일,다 고르고 결제할려는데 너무 거지같아서 그냥 내일 마트 갈렵니다.,1,1
0,87,2021년 2월 2일,집으로 직장으로 6배수 빠른 배송완료 입니다 물맛 좋고 몸에좋은 한스 6배수 최고네요,5,5
0,88,2021년 2월 2일,엿이나 먹으셈,1,
