,리뷰,별점,날짜
0,쿠팡 괜히 깔았어 ㅜ ㅜ 40년을 모르고 살았는데 계속 모를껄..너무 좋잖아요 ㅜ ㅜ 사도 사도 끝이 없네..쬐끔 비싼거야 급한건 아침에 주문하고 오후에 집에서 받는데 그거까지 안 낼 수 있나요~쿠팡 기사님들 항상 고맙습니다...조금 늦어도 되니 건강 조심하세요..그리고 쿠팡!!쿠팡 이만큼 큰건 진짜 쿠팡맨들 덕인줄 알고 잘 대접해 드려요 알것슈??,5,2021년 4월 10일
1,로켓 도착 보장 써놓는 거 어이없음. 그래 어쩌다 늦을 순 있는데 다른 물건들 3개 더 시켜서 4개 배송오는데 1개 누락된 걸 왜 사전에 얘기 안 해주고 있다가 온 물건들 갯수가 3개라 문자 확인해보니까 배송 후에 문자에 나머지 1개 내일 배송이라고 보냄. 지들이 누락한 거 사전에 얘기도 안 주고 포인트 천 원 적선하듯이 띡 던져줌.,1,2021년 4월 13일
2,"여태 신뢰하면서 물품들 잘 쓰고 있었습니다. 배달원 분들의 노고의 감사드리긴 하나, 최근 택배원 분들 대우라든가 MBC에서 방영한 스트레이트 프로그램을 통해 판매원 분들의 현실을 보곤 쿠팡에 대해 크게 부정적인 이미지를 가지게 됐습니다. 저분들의 처우가 나아질 거란 기대는 없겠지만 앞으로 쿠팡에서 볼 물품들은 줄여나가야 겠다는 생각이네요. 다시 봤네요 쿠팡",2,2021년 4월 8일
3,"쇼핑주문 대 만족^^-시집간 딸이 커피와수제빵샾을 운용하여 회원으로 주문해서 제것 카드와 이들카드로 결제하여 주문 해 주워 생활합니다.저는13년동안 교통사고를 버스사고 2번 크게 다처 수술을 몇번이나 하고 제가 살수있는 것은 남매를 두었는데 외손주3명이 있어 약을 먹고 있어도 모두가 힐리미 되게하려고 저를위해주는 자식,사도,외손주 정성 이예요.",5,2021년 4월 10일
4,업데이트 안하면 항상 오류나는데.!왜그리 자주해가지고!.귀찮게스리.! !그리고 요즘 쿠팡 다른데보다 비싸요!한마디로 배송료 무료아닌셈. 그리고!.쓰다 반품한거 기본으로 보내줌. 그리고 첫ㅇ화면 특가 뜨는거없애줘요.귀찮아서..원. 배달기사분들은 친절한편.,2,2021년 3월 30일
5,항시 잘쓰고있어요. 근데 장바구니 상단에 로켓배송/ 로켓후레쉬/ 판매자배송 이렇게 세개로 나뉘는게 있다가 읎다가 하네요.. 계속 있었으면 좋겠는디,5,2021년 4월 13일
6,쿠팡 애용자입니다.. 요몇일째 쿠팡앱에 들어갈수가 없네요...들어가도 자꾸만 접속할수없다는 문구가 계속뜨고... 데이터며 와이파이며..다 확인해봐도 쿠팡앱만 자꾸 안되요~~오랫동안 사용해봤지만 이런적은 없었는데...빨리고처주세요~~~ 쿠팡만 이용했는데..ㅠ.ㅠ,1,2021년 3월 18일
7,"툭하면 오류. 거기다 로켓프레시 이용하는데 회사잘못으로 누락된 제품은 재출고가 안되고 환불만 가능. 환불하면 금액 맞춰서 다시 사야되는데 돈쓰라고 강요하는것같아서 최악. 이런문제는 물론 쿠팡체험단 선정 기준을 그어느 상담사도 제대로 알고있지않음. 쿠팡 마음대로 선정. 정확한 기준을 달라고요. 물건을 사든 안사든, 후기 좋아요를 많이 받든안받든 어떤날은 선정되고 어떤날은 안되고. 하여간 제대로 하는거 하나없고 상담사들도 모르는것투성이!",1,2021년 4월 9일
8,쿠팡이 이상해졌어요 새벽까지도 잘됐는데 아침에 에러 나더니 다시 제거 후 깔았는데 이젠 물건 상세보기할 때 일시적으로ㅠ앱에 접속할 수 없다고 뜨네요 쇼핑 불가합니다,1,2021년 4월 10일
9,무료배송이길래 설치했고 구매도 바로 했어요. 상품수령하고 이제 리뷰쓰려하는데 리뷰쓸수있는 상품이 없다고 나오네요. 이미 도착했는데..... 이거 고쳐주세요.,2,2021년 4월 8일
10,요즘 가격이 이상하게 표시되거나 다른 사진이 뜨거나 오류가 심한 것 같아요. 돈 버니까 예전같은 서비스가 아니네요. 그리고 택배 늦어도 되요. 택배기사님들에 대한 처사가 좀 나아졌으면 좋겠습니다.,2,2021년 4월 10일
11,다 좋은데 로켓와우 위주로 하네요 차라리 이벤트 기간끝나고 로켓배송 19800 구매가능이라도 좋으니 이벤트 하지말아주세요 그리고 로켓와우 홍보 할려고 월 2900 로켓멤버십 가입하라고 유도하는거네요 너무했어요,5,2021년 4월 14일
12,"도대체 쿠팡 어플이 왜 실행이 안 되죠? 데이터를 다운로드 할 수 없다네요, 앱 설정 들어가서 권한 설정 및 업데이트 , 모든 방법을 다 동원했어요",1,2021년 4월 8일
13,쿠팡 애용자입니다. 오늘 갑자기 앱실행이 안되요ㅜㅜ^^ 상품검색이랑 주문한상품 보려고 했는데 왜안되는거죠. 빠른대책 필요합니다. 추가로 주문할 상품들이 있는데 어쩌죠~ ‥‥ 앱을 삭제시키고 다시 깔아서 로그인하고 실행시키니 지금은되요. 왜 앱이 안되였는지 모르겠네요. 전에 주문한 상품이 배송이 되었는지 알수없어 안타깝워요 상품배송어디까지왔는지 알수있는방법없을가요,1,2021년 3월 24일
14,쿠팡 로켓 취소해야겠어요. 프레시전품목 품절 안풀린지가 이주가 넘어가는데. 자취하는 저는 어쩌라는건지. 문의 넣어봤자 해결되는건 없고 답답한것만 매한가지네요.,1,2021년 3월 25일
15,논란 봤는데 다른 상품을 동일 상품이라고 10000% 뻔뻔하게 표기하면 어쩌자는거? 같은 상품의 다른 판매자가 아니고 가격 100원 내리고 복사 붙여넣기로 돈 뺏어가는 사람이 판매하는 출처모를 다른 물건이겠지,1,2021년 4월 13일
16,제가 주문한 물건들이 다 배달이 되지 않고 다 날라가 버렸읍니다.이제 더이상 주문하기가 두렵네요.배달사고가 앞으로는 일어나지 않길 바랍니다.,5,2021년 4월 12일
17,마음에 드는 물건을 빠르고 정확하게 구매할 수 있어서 너무 좋습니다. 항상 건승 하십시요~~!,5,2021년 4월 8일
18,앱을 실행하는데 계속 중단되면서 앱이 강제로 종료됩니다. 쇼핑하거나 마이페이지만 눌러도 계속 중단된다면서 꺼집니다. 사용하기 불편하네요. 해결책 좀 아시면 알려주세요,1,2021년 3월 23일
19,쿠팡 오류나시는분 이렇게해보세요. 설정 애플리케이션 들어간다음 우측상단 점세개 있는거 누르고 시스템앱표시 누른다음 android system webview라는 어플 사용중지 시키거나 삭제하세요. 저는 삭제가 안되서 사용중지 눌렀어요. 그럼 쿠팡됩니다. 쿠팡잘못아님 저 거지같은 어플때문에 충돌나는거임,4,2021년 3월 23일
20,다른 분들께서 자기가 물건 사면 다음날 값이 떨어진다고 하셔서 에이 설마... 하고 있었는데 진짜네요; 어제만 해도 최저가가 7800원대였는데 바로 6200원으로 바뀌네요~~ 이게 뭔 주식도 아니고 왜 이러는거죠?;,1,2021년 3월 26일
21,"로켓와우 회원인데 몇일전부터 계속 앱 에러, 고객 센터 전화하니 다시 설치하라고 안내.. 다시 설치해도 에러라고 하니.. 갤럭시 사용자는 삼성에 문의하라네... 앱 이상 없다고... 계속 같은 소리만.. 와... 놔.... 앱도 서비스인데 서비스 대가를 받으면 유지도 회사측에서 해야하는게 아닌가? 내가 잘못된 상식인가?",1,2021년 4월 5일
22,쿠팡 자주 이용하는데 물건 구입하기 전에 구매후기를 참고하는 편이라 저도 작성하는데요. 정확한 체험 및 평가를 정성들여 작성합니다. 구매 후기 작성시 쿠팡캐시나 포인트를 주셨으면 좋겠네요^^,5,2021년 3월 26일
23,며칠전부터 쿠팡 접속이 안돼요 지웠다 깔아도... 아래글 어떤분이 안드로이드뭐시기 시스템 중지 시키면 된다고 하셨던데 그렇게해도 안돼요...,1,2021년 4월 12일
24,"1. 쿠팡은 외국기업 2. 아이템 위너라는 시스템으로 소비자와 판매자만 엄청난 손해를 보는 구조 3. 물품의 품질이 보장이 안됨.(반품제품, 불량품 등) 4. 쿠팡을 사용하면 할수록 우리나라 쿠팡노동자만 엄청 착취당함.(쿠팡은 과로로 사망한 노동자와 그의 유가족에게 사과를 한 적이 없음. 책임회피에만 급급했음) 5. 결론, 쿠팡은 자신에게 이득이 된다면 판매자, 소비자, 노동자 에게 어떠한 비인간적인 짓도 서슴치 않는 악덕기업.",1,2021년 4월 10일
25,제발 품절제외 옵션 넣어주세요 정렬옵션을 낮은가격순으로 바꾸면 품절제외 상품이 너무 많이 떠서 보기 불편합니다,2,2021년 4월 14일
26,몇 년간 쿠팡 이용해왔는데 지금처럼 버그 터지는 적은 처음이네요 계속 네트워크 연결이 안된다고 해서 지웠다가 설치 다시했는데 이번엔 무슨 일시적으로 앱에 접속할 수 없다고만 계속 뜨네요 빨리 좀 수정 바랍니다,1,2021년 3월 23일
27,"잘이용중인데 오늘부터 이상해요; 주문목록들어가면 창이꺼져버리고 몇몇 다른것들 눌러도 창이꺼져버리거나,나시 처음화면으로 돌아오는데 이거 왜이래요...",1,2021년 3월 24일
28,저만 오류가 생기나했는데... 앱을 지우고 재설치만 몇번을 해도 물건 보려고 클릭하면 창 닫힘.... 몇일째 저와같은 불만이 나오고있는것 보니 앱 오류군요 난 또 바이러스 해킹인가 싶어 걱정했더니...,1,2021년 3월 23일
29,쿠팡 회원으로 잘 사용하다 몇주 전부터 생긴 앱 오류는 언제 고쳐주시나요? 업데이트 O 삭제후 다시설치 O 폰재부팅후 접속 O 다해봐도 계속 앱자체를 못들어가고 들어간 후에도 10초 이내에 계속 앱이 종료되는데 방법 좀 알려주세요,1,2021년 4월 8일
30,추가상품 옵션좀여.. 추가할수없으니 판매자한테 전화해야하고 불편함. 내가 원하는 옵션이 모델선택에도 없고.. 불편하네요.,4,2021년 4월 8일
31,왜 리뷰가 지워짐? 데이터 요청에 실패했다고만 계속뜨고 다른 어플.사이트들은 잘쓰고있는데 불편해죽겠어요,1,2021년 4월 12일
32,"쿠팡 와우 쓴지 몇달째인 사람으로서 적어봄. 제품 이상이나 이벤트 관련 고객센터에 작은 문의만해도 기다리는데 일주일 이상 걸림 알아보겠다. 기다려달라.라고 하면서 계속 하루씩 답변을 미루고 결국에는 문의한 내용포기 하게 만듦 미국 저가항공 고객센터 느낌임 그냥 계속 전달만하겠다. 기다려달라만 반복함 쿠팡 이제 손절합니다 정말 정떨어지는 느낌 근데 이게 상담사들 문제도 아니라서 화낼 수도 없음 일부러 이렇게 시스템 만들어놓은게 쿠팡일테니까 관련 부서에 전달해주겠다만 앵무새처럼 반복하게 만드는게 상담사들 탓이겠나? 진짜 고객센터 한번이...
전체 리뷰",1,2021년 3월 24일
33,품절상품 제외 필터가 사라졌네요 꼭 필요한 기본 옵션이라고 봅니다만 수정됐으면 좋겠습니다,3,2021년 4월 13일
